p3_桃儲_last,p3_停泵日期_last,p3_取樣時間_last,p3_檢驗完成時間_last,p3_靜置H_last,p3_導電度_last,p3_溫度℃_last,p3_密度ｋｇ／ｍ３_last,p4_起泵時間_last,p4_停泵時間_last,p4_start_vol_last,p4_end_vol_last,p4_油溫℃_last,p4_管線壓力Kg/cm2_last,p4_管線溫度℃_last,p4_即時流速(KL/HR)_last,p4_input_管線壓力Kg/cm2_last,p4_input_管線溫度℃_last,p4_EC_end_last,p4_EC_mean_last,p4_EC_median_last,p4_EC_max_last,p4_EC_min_last,p2_起泵時間,p2_停泵時間,p2_油量增加比例,p2_start_vol,p2_end_vol,p2_壓力Kg/cm2,p2_管線溫度℃,p2_即時流速(KL/HR),p2_EC_mean,p2_EC_median,p2_EC_max,p2_EC_min,p3_停泵日期,p3_取樣時間,p3_檢驗完成時間,p3_靜置H,p3_導電度,p3_溫度℃,p3_密度ｋｇ／ｍ３,p4_起泵時間,p4_停泵時間,p4_start_vol,p4_end_vol,p4_油溫℃,p4_管線壓力Kg/cm2,p4_管線溫度℃,p4_即時流速(KL/HR),p4_input_管線壓力Kg/cm2,p4_input_管線溫度℃,p4_EC_end,p4_EC_mean,p4_EC_median,p4_EC_max,p4_EC_min
T-A404,2020-10-29 00:00:00,2020-10-31 04:10:00,2020-10-31 05:00:00,38.0,285.0,26.0,789.9,2020-11-02 17:30:03,2020-11-03 11:11:00,6612.219,1856.369,25.48333333333333,9.023833333333332,29.029166666666665,266.72222222222223,3.631111111111111,26.45833333333333,270.0,269.0,270.0,270.0,269.0,2020-11-04 20:56:00,2020-11-05 16:05:00,3.1164382272853124,1860.085,5796.84,2.6643636363636363,27.48863636363636,220.15227272727276,363.7,368.8,389.0,330.0,2020-11-05 00:00:00,2020-11-08 02:40:00,2020-11-08 03:40:00,38.0,245.0,25.8,789.5,2020-11-09 16:40:02,2020-11-10 12:33:00,6615.404,1662.61,24.53684210526316,8.875894736842106,28.07236842105263,265.8842105263158,3.495263157894736,26.16315789473683,248.0,248.0,248.0,248.0,248.0
T-A401,2020-10-31 00:00:00,2020-11-02 04:10:00,2020-11-02 05:10:00,37.0,286.0,26.3,789.8499999999999,2020-11-04 17:04:27,2020-11-05 12:30:00,6626.279,3007.891,25.126315789473683,8.881263157894736,28.521052631578947,262.98947368421057,3.616315789473684,26.222368421052632,290.0,289.2,290.0,290.0,289.2,2020-11-06 02:18:00,2020-11-06 22:19:00,2.2552201670178724,1601.625,3612.017,3.067727272727273,26.43214285714286,191.35652597402594,348.6,349.0,360.0,341.0,2020-11-06 00:00:00,2020-11-10 03:10:00,2020-11-10 04:10:00,77.0,260.0,25.1,789.5,2020-11-11 17:05:00,2020-11-12 11:50:00,6624.686,1672.761,24.51666666666666,8.866277777777777,28.04305555555556,265.79999999999995,3.475,26.004166666666663,250.0,266.6,250.0,266.6,250.0
T-A402,2020-11-01 00:00:00,2020-11-05 04:30:00,2020-11-05 05:30:00,78.0,270.0,26.3,789.9,2020-11-05 16:44:00,2020-11-06 10:17:00,6640.853,4418.211,26.300000000000008,8.945857142857143,28.83035714285714,266.83571428571423,3.532857142857143,26.25535714285715,352.5,314.6,314.6,352.5,314.6,2020-11-07 21:48:00,2020-11-08 15:51:00,3.245649933301668,2044.279,6635.014,2.1527,27.373749999999998,248.3175,352.7,352.7,355.0,352.7,2020-11-08 00:00:00,2020-11-11 02:10:00,2020-11-12 03:00:00,58.0,250.0,25.2,789.8,2020-11-12 19:26:04,2020-11-13 13:43:00,6638.73,1804.868,25.199999999999992,8.862722222222223,27.80972222222222,266.4888888888888,3.4483333333333337,25.866666666666674,328.0,313.2,320.6,328.0,313.2
T-A403,2020-11-03 00:00:00,2020-11-06 04:30:00,2020-11-06 05:30:00,35.0,275.0,25.5,789.5,2020-11-07 16:18:54,2020-11-08 10:34:00,6612.351,4846.333,25.484210526315785,8.896947368421051,28.82894736842106,262.69473684210527,3.585263157894736,26.242105263157907,300.0,307.7,300.0,307.7,300.0,2020-11-09 20:46:00,2020-11-10 06:58:00,2.452819504003425,1788.843,4387.709,1.4555,26.9375,247.675,346.0,343.5,346.0,343.5,2020-11-10 00:00:00,2020-11-16 16:10:00,2020-11-16 17:10:00,92.5,260.0,25.0,789.4,2020-11-17 17:25:01,2020-11-18 12:11:00,6602.797,1655.609,24.700000000000003,8.884450000000001,28.441250000000004,263.975,3.5710000000000006,25.77750000000001,345.0,334.0,334.0,345.0,334.0
T-A403,2020-11-03 00:00:00,2020-11-06 04:30:00,2020-11-06 05:30:00,35.0,275.0,25.5,789.5,2020-11-07 16:18:54,2020-11-08 10:34:00,6612.351,4846.333,25.484210526315785,8.896947368421051,28.82894736842106,262.69473684210527,3.585263157894736,26.242105263157907,300.0,307.7,300.0,307.7,300.0,2020-11-10 21:42:00,2020-11-11 06:23:00,1.4987382564801046,4416.904,6619.783,2.0950833333333336,26.445833333333336,207.3,355.0,355.0,355.0,355.0,2020-11-20 00:00:00,2020-11-22 04:10:00,2020-11-22 05:10:00,35.0,290.0,26.3,790.1500000000001,2020-11-27 20:00:01,2020-11-28 05:18:00,6601.204,4724.245,24.65714285714285,8.441285714285714,28.039285714285715,262.0142857142857,3.158571428571429,25.767857142857142,308.0,293.7,308.0,308.0,293.7
T-A404,2020-11-05 00:00:00,2020-11-08 02:40:00,2020-11-08 03:40:00,38.0,245.0,25.8,789.5,2020-11-09 16:40:02,2020-11-10 12:33:00,6615.404,1662.61,24.53684210526316,8.875894736842106,28.07236842105263,265.8842105263158,3.495263157894736,26.16315789473683,248.0,248.0,248.0,248.0,248.0,2020-11-11 20:27:00,2020-11-11 23:00:00,1.3880025630052075,1663.672,2309.181,3.4361229296066247,25.46666666666667,182.63026469273495,345.0,345.0,345.0,345.0,2020-11-12 00:00:00,2020-11-14 06:30:00,2020-11-14 07:50:00,32.0,301.0,24.9,789.5,2020-11-21 13:15:01,2020-11-22 08:08:00,6642.477,1668.98,25.92631578947368,9.001526315789475,29.636842105263167,264.6368421052632,3.656842105263157,25.969736842105263,326.0,304.2,323.5,326.0,226.0
T-A404,2020-11-05 00:00:00,2020-11-08 02:40:00,2020-11-08 03:40:00,38.0,245.0,25.8,789.5,2020-11-09 16:40:02,2020-11-10 12:33:00,6615.404,1662.61,24.53684210526316,8.875894736842106,28.07236842105263,265.8842105263158,3.495263157894736,26.16315789473683,248.0,248.0,248.0,248.0,248.0,2020-11-12 04:27:00,2020-11-12 21:22:00,2.8521299772864226,2329.884,6645.132,1.7890526315789477,27.30921052631579,236.07631578947368,352.2,353.0,356.0,349.0,2020-11-12 00:00:00,2020-11-14 06:30:00,2020-11-14 07:50:00,32.0,301.0,24.9,789.5,2020-11-21 13:15:01,2020-11-22 08:08:00,6642.477,1668.98,25.92631578947368,9.001526315789475,29.636842105263167,264.6368421052632,3.656842105263157,25.969736842105263,326.0,304.2,323.5,326.0,226.0
T-A401,2020-11-06 00:00:00,2020-11-10 03:10:00,2020-11-10 04:10:00,77.0,260.0,25.1,789.5,2020-11-11 17:05:00,2020-11-12 11:50:00,6624.686,1672.761,24.51666666666666,8.866277777777777,28.04305555555556,265.79999999999995,3.475,26.004166666666663,250.0,266.6,250.0,266.6,250.0,2020-11-13 03:25:00,2020-11-13 22:53:00,3.945672817190687,1680.724,6631.587,1.3490952380952383,27.31785714285714,250.01428571428568,352.8,351.0,352.8,350.0,2020-11-18 00:00:00,2020-11-20 06:40:00,2021-11-21 05:00:00,38.0,310.0,26.3,789.8499999999999,2021-11-25 16:28:04,2021-11-27 16:08:00,6487.722,2371.912,23.1,7.348777777777779,26.508333333333336,233.745,3.162222222222222,25.625000000000004,267.0,272.5,269.8,277.0,267.0
T-A402,2020-11-08 00:00:00,2020-11-11 02:10:00,2020-11-12 03:00:00,58.0,250.0,25.2,789.8,2020-11-12 19:26:04,2020-11-13 13:43:00,6638.73,1804.868,25.199999999999992,8.862722222222223,27.80972222222222,266.4888888888888,3.4483333333333337,25.866666666666674,328.0,313.2,320.6,328.0,313.2,2020-11-14 21:14:00,2020-11-15 16:13:00,3.746486963808632,1775.672,6652.532,1.771047619047619,27.33095238095237,244.55714285714288,357.4,357.2,375.1,353.0,2020-11-15 00:00:00,2020-11-17 04:50:00,2020-11-17 06:00:00,36.0,295.0,25.3,790.0625,2020-11-19 19:48:07,2020-11-20 14:19:00,6660.495,6055.864,26.5,8.913900000000002,29.61625,263.035,3.626500000000001,25.890000000000004,326.0,328.9,326.0,328.9,326.0
T-A404,2020-11-05 00:00:00,2020-11-08 02:40:00,2020-11-08 03:40:00,38.0,245.0,25.8,789.5,2020-11-09 16:40:02,2020-11-10 12:33:00,6615.404,1662.61,24.53684210526316,8.875894736842106,28.07236842105263,265.8842105263158,3.495263157894736,26.16315789473683,248.0,248.0,248.0,248.0,248.0,2020-11-16 22:07:00,2020-11-17 17:32:00,3.889131609922987,1709.324,6647.786,1.366727272727273,27.382954545454535,244.23409090909095,354.6,354.6,365.0,350.0,2020-11-17 00:00:00,2020-11-19 04:30:00,2020-11-19 06:00:00,36.0,336.0,26.3,790.5250000000001,2020-11-21 13:15:01,2020-11-22 08:08:00,6642.477,1668.98,25.92631578947368,9.001526315789475,29.636842105263167,264.6368421052632,3.656842105263157,25.969736842105263,326.0,304.2,323.5,326.0,226.0
T-A401,2020-11-12 00:00:00,2020-11-15 06:30:00,2020-11-15 07:00:00,29.0,336.0,25.3,789.8499999999999,2020-11-16 17:29:41,2020-11-17 10:59:00,6313.598,1706.737,25.322222222222223,9.03977777777778,29.01944444444444,264.44444444444434,3.693888888888889,25.804166666666674,330.0,317.5,327.5,330.0,317.5,2020-11-17 17:33:00,2020-11-18 12:42:00,3.7550898288021792,1773.095,6658.131,1.8157142857142856,27.56309523809523,243.7142857142857,357.4,357.4,360.0,347.0,2020-11-18 00:00:00,2020-11-20 06:40:00,2021-11-21 05:00:00,38.0,310.0,26.3,789.8499999999999,2021-11-25 16:28:04,2021-11-27 16:08:00,6487.722,2371.912,23.1,7.348777777777779,26.508333333333336,233.745,3.162222222222222,25.625000000000004,267.0,272.5,269.8,277.0,267.0
T-A403,2020-11-10 00:00:00,2020-11-16 16:10:00,2020-11-16 17:10:00,92.5,260.0,25.0,789.4,2020-11-17 17:25:01,2020-11-18 12:11:00,6602.797,1655.609,24.700000000000003,8.884450000000001,28.441250000000004,263.975,3.5710000000000006,25.77750000000001,345.0,334.0,334.0,345.0,334.0,2020-11-19 22:03:00,2020-11-20 17:28:00,3.559178185351783,1628.007,5794.367,1.521666666666667,27.26071428571429,250.85,363.2,363.1,375.0,355.0,2020-11-20 00:00:00,2020-11-22 04:10:00,2020-11-22 05:10:00,35.0,290.0,26.3,790.1500000000001,2020-11-27 20:00:01,2020-11-28 05:18:00,6601.204,4724.245,24.65714285714285,8.441285714285714,28.039285714285715,262.0142857142857,3.158571428571429,25.767857142857142,308.0,293.7,308.0,308.0,293.7
T-A402,2020-11-15 00:00:00,2020-11-17 04:50:00,2020-11-17 06:00:00,36.0,295.0,25.3,790.0625,2020-11-19 19:48:07,2020-11-20 14:19:00,6660.495,6055.864,26.5,8.913900000000002,29.61625,263.035,3.626500000000001,25.890000000000004,326.0,328.9,326.0,328.9,326.0,2020-11-21 21:47:00,2020-11-22 16:57:00,3.744255440431693,1778.857,6660.495,1.8942857142857144,27.216666666666665,240.3928571428572,338.9,344.0,355.0,256.1,2020-11-22 00:00:00,2020-11-24 03:35:00,2020-11-24 21:30:00,34.0,285.0,25.3,790.0625,2020-11-26 18:06:02,2020-11-27 13:25:00,6619.62,1694.984,25.199999999999992,8.714055555555554,28.616666666666667,261.8611111111111,3.4516666666666667,25.858333333333345,307.0,305.0,307.0,312.0,305.0
T-A404,2020-11-17 00:00:00,2020-11-19 04:30:00,2020-11-19 06:00:00,36.0,336.0,26.3,790.5250000000001,2020-11-21 13:15:01,2020-11-22 08:08:00,6642.477,1668.98,25.92631578947368,9.001526315789475,29.636842105263167,264.6368421052632,3.656842105263157,25.969736842105263,326.0,304.2,323.5,326.0,226.0,2020-11-23 22:55:00,2020-11-24 02:23:00,1.5287574981757754,1670.573,2553.901,3.048,26.0125,182.63026469273495,335.0,335.0,335.0,335.0,2020-11-24 00:00:00,2020-11-28 03:00:00,2020-11-28 04:00:00,67.0,278.0,24.7,790.5250000000001,2020-11-29 22:31:53,2020-11-30 12:39:00,5385.965,1700.831,23.32,8.874400000000001,26.876666666666665,264.12666666666667,3.5026666666666677,25.460000000000004,292.0,292.2,292.0,292.2,292.0
T-A404,2020-11-17 00:00:00,2020-11-19 04:30:00,2020-11-19 06:00:00,36.0,336.0,26.3,790.5250000000001,2020-11-21 13:15:01,2020-11-22 08:08:00,6642.477,1668.98,25.92631578947368,9.001526315789475,29.636842105263167,264.6368421052632,3.656842105263157,25.969736842105263,326.0,304.2,323.5,326.0,226.0,2020-11-24 03:02:00,2020-11-24 18:56:00,2.5775311546065485,2584.69,6662.119,2.2428823529411765,27.16470588235294,240.8029411764705,356.3,356.3,358.0,356.3,2020-11-24 00:00:00,2020-11-28 03:00:00,2020-11-28 04:00:00,67.0,278.0,24.7,790.5250000000001,2020-11-29 22:31:53,2020-11-30 12:39:00,5385.965,1700.831,23.32,8.874400000000001,26.876666666666665,264.12666666666667,3.5026666666666677,25.460000000000004,292.0,292.2,292.0,292.2,292.0
T-A401,2020-11-12 00:00:00,2020-11-15 06:30:00,2020-11-15 07:00:00,29.0,336.0,25.3,789.8499999999999,2020-11-23 18:17:08,2020-11-24 13:40:00,6639.019,1783.712,25.40000000000001,8.875166666666665,28.9125,266.76666666666665,3.445,25.925000000000004,326.0,327.3,326.0,327.3,326.0,2020-11-27 12:57:00,2020-11-28 07:53:00,3.4603660812784183,1915.367,6627.871,1.7276190476190476,26.37619047619048,224.8642857142857,367.5,373.5,373.5,350.0,2020-11-28 00:00:00,2020-11-30 03:00:00,2020-11-30 04:00:00,43.0,270.0,24.1,789.8499999999999,2020-12-01 18:02:34,2020-12-02 13:15:00,6559.92,1574.551,22.81052631578948,8.943631578947368,26.04210526315789,263.08421052631576,3.636315789473685,25.022368421052622,316.0,316.4,316.0,325.0,316.0
T-A402,2020-11-22 00:00:00,2020-11-24 03:35:00,2020-11-24 21:30:00,34.0,285.0,25.3,790.0625,2020-11-26 18:06:02,2020-11-27 13:25:00,6619.62,1694.984,25.199999999999992,8.714055555555554,28.616666666666667,261.8611111111111,3.4516666666666667,25.858333333333345,307.0,305.0,307.0,312.0,305.0,2020-11-28 20:53:00,2020-11-29 16:51:00,3.8771706866732103,1711.44,6635.545,2.319045454545454,26.40795454545454,229.47272727272727,351.2,351.0,351.2,347.0,2020-11-29 00:00:00,2020-12-02 04:20:00,2020-12-02 05:00:00,58.0,276.0,23.7,790.0625,2020-12-03 18:03:00,2020-12-04 14:01:00,6614.842,1619.604,22.360000000000003,8.277750000000001,24.90375,247.965,3.468,24.45749999999999,295.0,294.8,295.0,296.0,294.8
T-A403,2020-11-20 00:00:00,2020-11-22 04:10:00,2020-11-22 05:10:00,35.0,290.0,26.3,790.1500000000001,2020-11-28 05:19:10,2020-11-28 16:57:00,4604.281,1630.661,24.5,8.489916666666666,27.837499999999995,254.4333333333333,3.4683333333333333,25.618749999999995,275.0,292.0,275.0,292.0,275.0,2020-11-29 22:31:00,2020-11-30 18:27:00,4.060978918423465,1636.5,6645.792,2.77095,26.632500000000004,232.8525,355.8,354.4,367.0,345.0,2020-11-30 00:00:00,2020-12-03 03:40:00,2020-12-03 04:30:00,58.0,290.0,23.3,789.9,2020-12-05 15:24:04,2020-12-06 10:18:00,6620.844,1689.05,21.010526315789463,8.779894736842106,24.56315789473684,260.21052631578954,3.561578947368422,24.76578947368422,279.0,284.8,284.8,296.0,279.0
T-A404,2020-11-24 00:00:00,2020-11-28 03:00:00,2020-11-28 04:00:00,67.0,278.0,24.7,790.5250000000001,2020-11-29 22:31:53,2020-11-30 12:39:00,5385.965,1700.831,23.32,8.874400000000001,26.876666666666665,264.12666666666667,3.5026666666666677,25.460000000000004,292.0,292.2,292.0,292.2,292.0,2020-12-01 21:00:00,2020-12-02 16:23:00,3.864689303511685,1718.349,6640.885,1.9312380952380952,26.49761904761905,238.4714285714286,365.8,365.8,370.0,363.0,2020-12-02 00:00:00,2020-12-04 02:20:00,2020-12-05 02:00:00,34.0,207.0,22.9,790.0,2020-12-06 16:46:04,2020-12-07 11:28:00,6617.528,1697.646,21.089473684210525,9.111473684210528,24.681578947368426,265.21052631578954,3.6731578947368426,24.31578947368421,302.0,301.2,301.1,302.0,294.0
T-A401,2020-11-28 00:00:00,2020-11-30 03:00:00,2020-11-30 04:00:00,43.0,270.0,24.1,789.8499999999999,2020-12-01 18:02:34,2020-12-02 13:15:00,6559.92,1574.551,22.81052631578948,8.943631578947368,26.04210526315789,263.08421052631576,3.636315789473685,25.022368421052622,316.0,316.4,316.0,325.0,316.0,2020-12-03 20:39:00,2020-12-04 02:06:00,1.881384984356199,1579.859,2972.323,1.456625,25.156250000000004,242.5125,360.0,360.0,360.0,360.0,2020-12-04 00:00:00,2020-12-08 04:15:00,2020-12-08 05:00:00,79.0,295.0,21.8,789.6,2020-12-08 20:20:07,2020-12-09 15:06:00,6626.809,6179.289,21.12631578947368,8.792315789473685,24.66578947368421,263.6105263157894,3.4678947368421054,24.315789473684223,291.0,289.5,290.5,291.0,285.0
T-A401,2020-11-28 00:00:00,2020-11-30 03:00:00,2020-11-30 04:00:00,43.0,270.0,24.1,789.8499999999999,2020-12-01 18:02:34,2020-12-02 13:15:00,6559.92,1574.551,22.81052631578948,8.943631578947368,26.04210526315789,263.08421052631576,3.636315789473685,25.022368421052622,316.0,316.4,316.0,325.0,316.0,2020-12-04 06:45:00,2020-12-04 20:52:00,2.2040921300794425,3009.484,6633.18,1.904125,26.35625,247.209375,352.5,352.5,360.0,330.0,2020-12-04 00:00:00,2020-12-08 04:15:00,2020-12-08 05:00:00,79.0,295.0,21.8,789.6,2020-12-08 20:20:07,2020-12-09 15:06:00,6626.809,6179.289,21.12631578947368,8.792315789473685,24.66578947368421,263.6105263157894,3.4678947368421054,24.315789473684223,291.0,289.5,290.5,291.0,285.0
T-A402,2020-11-29 00:00:00,2020-12-02 04:20:00,2020-12-02 05:00:00,58.0,276.0,23.7,790.0625,2020-12-03 18:03:00,2020-12-04 14:01:00,6614.842,1619.604,22.360000000000003,8.277750000000001,24.90375,247.965,3.468,24.45749999999999,295.0,294.8,295.0,296.0,294.8,2020-12-05 21:32:00,2020-12-06 16:50:00,4.070541999934787,1625.443,6616.434,2.3276190476190477,26.182142857142853,245.9714285714286,334.2,350.0,359.0,257.0,2020-12-06 00:00:00,2020-12-08 04:30:00,2020-12-08 06:00:00,35.0,320.0,22.5,789.6,2020-12-11 17:57:12,2020-12-12 11:22:00,6610.595,2176.459,22.00555555555555,8.405833333333334,25.08055555555556,255.36666666666667,3.371111111111111,23.89999999999999,300.0,283.8,283.8,300.0,283.8
T-A403,2020-11-30 00:00:00,2020-12-03 03:40:00,2020-12-03 04:30:00,58.0,290.0,23.3,789.9,2020-12-05 15:24:04,2020-12-06 10:18:00,6620.844,1689.05,21.010526315789463,8.779894736842106,24.56315789473684,260.21052631578954,3.561578947368422,24.76578947368422,279.0,284.8,284.8,296.0,279.0,2020-12-06 19:14:00,2020-12-07 14:27:00,3.925668783950965,1685.335,6616.067,2.4132857142857143,26.35952380952381,233.77142857142857,333.8,331.9,352.0,308.0,2020-12-07 00:00:00,2020-12-09 06:30:00,2020-12-10 07:30:00,38.0,288.0,22.9,789.6,2020-12-12 19:11:03,2020-12-13 14:10:00,6599.081,1639.685,21.536842105263155,8.732473684210527,25.20394736842105,261.9263157894737,3.4836842105263166,24.039473684210527,290.0,266.4,265.0,290.0,240.0
T-A404,2020-12-02 00:00:00,2020-12-04 02:20:00,2020-12-05 02:00:00,34.0,207.0,22.9,790.0,2020-12-06 16:46:04,2020-12-07 11:28:00,6617.528,1697.646,21.089473684210525,9.111473684210528,24.681578947368426,265.21052631578954,3.6731578947368426,24.31578947368421,302.0,301.2,301.1,302.0,294.0,2020-12-08 22:55:00,2020-12-09 19:22:00,2.63607543246572,1677.474,4421.948,3.4361229296066247,23.24673913043478,182.63026469273495,352.2,350.6,352.2,345.0,2020-12-13 00:00:00,2020-12-20 03:00:00,2020-12-20 04:00:00,67.0,338.0,20.4,790.5,2020-12-21 18:30:01,2020-12-22 12:46:00,6607.442,2493.915,19.413333333333338,8.958533333333332,23.125,269.3,3.426,23.195000000000007,307.0,301.2,304.1,307.0,301.2
T-A404,2020-12-02 00:00:00,2020-12-04 02:20:00,2020-12-05 02:00:00,34.0,207.0,22.9,790.0,2020-12-06 16:46:04,2020-12-07 11:28:00,6617.528,1697.646,21.089473684210525,9.111473684210528,24.681578947368426,265.21052631578954,3.6731578947368426,24.31578947368421,302.0,301.2,301.1,302.0,294.0,2020-12-09 19:23:00,2020-12-10 04:04:00,1.5032914947379148,4435.219,6667.427,2.2923636363636364,26.202272727272728,235.0227272727272,348.7,348.7,350.0,348.7,2020-12-13 00:00:00,2020-12-20 03:00:00,2020-12-20 04:00:00,67.0,338.0,20.4,790.5,2020-12-21 18:30:01,2020-12-22 12:46:00,6607.442,2493.915,19.413333333333338,8.958533333333332,23.125,269.3,3.426,23.195000000000007,307.0,301.2,304.1,307.0,301.2
T-A401,2020-12-04 00:00:00,2020-12-08 04:15:00,2020-12-08 05:00:00,79.0,295.0,21.8,789.6,2020-12-08 20:20:07,2020-12-09 15:06:00,6626.809,6179.289,21.12631578947368,8.792315789473685,24.66578947368421,263.6105263157894,3.4678947368421054,24.315789473684223,291.0,289.5,290.5,291.0,285.0,2020-12-11 21:16:00,2020-12-12 16:38:00,4.03343920881698,1650.996,6659.192,1.363904761904762,25.791666666666668,253.23571428571427,337.3,342.5,365.0,265.0,2020-12-19 00:00:00,2020-12-22 17:35:00,2020-12-22 18:35:00,70.0,310.0,20.7,789.8499999999999,2021-01-01 16:04:45,2021-01-02 09:58:00,6436.759,3027.002,18.77058823529412,9.270823529411764,22.322058823529414,265.35705882352937,3.925882352941176,22.694117647058818,230.0,243.5,236.8,251.0,230.0
T-A402,2020-12-06 00:00:00,2020-12-08 04:30:00,2020-12-08 06:00:00,35.0,320.0,22.5,789.6,2020-12-11 17:57:12,2020-12-12 11:22:00,6610.595,2176.459,22.00555555555555,8.405833333333334,25.08055555555556,255.36666666666667,3.371111111111111,23.89999999999999,300.0,283.8,283.8,300.0,283.8,2020-12-12 21:39:00,2020-12-13 15:02:00,3.0515690341099155,2182.298,6659.433,2.0996,25.87375,226.8225,364.0,364.0,370.0,360.0,2020-12-13 00:00:00,2020-12-16 04:10:00,2020-12-16 05:10:00,85.0,285.0,21.9,789.7,2020-12-17 21:11:03,2020-12-18 15:59:00,6635.014,1701.885,21.1,9.19527777777778,23.8125,267.1722222222222,3.748333333333333,23.612500000000004,309.0,297.8,301.0,309.0,297.8
T-A403,2020-12-07 00:00:00,2020-12-09 06:30:00,2020-12-10 07:30:00,38.0,288.0,22.9,789.6,2020-12-12 19:11:03,2020-12-13 14:10:00,6599.081,1639.685,21.536842105263155,8.732473684210527,25.20394736842105,261.9263157894737,3.4836842105263166,24.039473684210527,290.0,266.4,265.0,290.0,240.0,2020-12-15 03:09:00,2020-12-15 22:49:00,4.020571491549707,1651.363,6639.423,1.307952380952381,25.098809523809525,248.51428571428576,353.8,356.0,357.0,337.0,2020-12-15 00:00:00,2020-12-17 03:55:00,2020-12-17 05:00:00,29.0,295.0,21.7,790.1500000000001,2020-12-19 16:30:02,2020-12-20 11:13:00,6622.437,1654.548,20.465,9.13285,23.5675,265.71500000000003,3.7414999999999994,23.355,319.0,308.0,308.0,319.0,308.0
T-A404,2020-12-02 00:00:00,2020-12-04 02:20:00,2020-12-05 02:00:00,34.0,207.0,22.9,790.0,2020-12-14 16:36:28,2020-12-15 11:52:00,6619.651,1630.228,20.965,8.76515,24.2275,259.725,3.585,23.48624999999999,302.0,297.0,300.5,303.0,297.0,2020-12-15 22:51:00,2020-12-16 18:41:00,4.0539571957839735,1642.969,6660.526,1.5741363636363637,25.747727272727275,242.44772727272724,357.9,359.0,360.0,355.0,2020-12-26 00:00:00,2020-12-28 02:00:00,2020-12-28 03:00:00,27.0,260.0,21.6,790.4,2021-01-09 14:00:18,2021-01-10 10:14:00,6587.8,1274.562,15.9,8.742523809523808,18.509523809523813,257.5542857142857,3.612857142857143,21.028571428571425,303.0,259.8,266.4,303.0,230.0
T-A401,2020-12-04 00:00:00,2020-12-08 04:15:00,2020-12-08 05:00:00,79.0,295.0,21.8,789.6,2020-12-15 17:38:01,2020-12-16 13:02:00,6648.575,1674.885,21.047368421052635,8.769315789473684,24.57631578947369,259.60526315789474,3.5873684210526315,23.69210526315789,313.0,306.2,309.6,313.0,306.2,2020-12-18 22:03:00,2020-12-19 01:44:00,1.5387847320733856,1642.502,2527.457,2.005,23.845,191.35652597402594,362.0,362.0,362.0,362.0,2020-12-19 00:00:00,2020-12-22 17:35:00,2020-12-22 18:35:00,70.0,310.0,20.7,789.8499999999999,2021-01-01 16:04:45,2021-01-02 09:58:00,6436.759,3027.002,18.77058823529412,9.270823529411764,22.322058823529414,265.35705882352937,3.925882352941176,22.694117647058818,230.0,243.5,236.8,251.0,230.0
T-A401,2020-12-04 00:00:00,2020-12-08 04:15:00,2020-12-08 05:00:00,79.0,295.0,21.8,789.6,2020-12-15 17:38:01,2020-12-16 13:02:00,6648.575,1674.885,21.047368421052635,8.769315789473684,24.57631578947369,259.60526315789474,3.5873684210526315,23.69210526315789,313.0,306.2,309.6,313.0,306.2,2020-12-19 03:11:00,2020-12-19 19:29:00,1.9103848672014887,2535.42,4843.628,1.4140555555555556,25.023611111111105,252.98333333333335,360.0,363.5,363.5,360.0,2020-12-19 00:00:00,2020-12-22 17:35:00,2020-12-22 18:35:00,70.0,310.0,20.7,789.8499999999999,2021-01-01 16:04:45,2021-01-02 09:58:00,6436.759,3027.002,18.77058823529412,9.270823529411764,22.322058823529414,265.35705882352937,3.925882352941176,22.694117647058818,230.0,243.5,236.8,251.0,230.0
T-A402,2020-12-13 00:00:00,2020-12-16 04:10:00,2020-12-16 05:10:00,85.0,285.0,21.9,789.7,2020-12-17 21:11:03,2020-12-18 15:59:00,6635.014,1701.885,21.1,9.19527777777778,23.8125,267.1722222222222,3.748333333333333,23.612500000000004,309.0,297.8,301.0,309.0,297.8,2020-12-19 19:30:00,2020-12-20 13:49:00,3.865485204115671,1708.786,6605.287,1.4772,25.48125,259.2075,361.8,360.9,370.0,360.9,2020-12-20 00:00:00,2020-12-23 04:30:00,2020-12-23 05:30:00,65.0,281.0,21.0,790.0625,2020-12-25 19:55:11,2020-12-26 14:34:00,6569.72,2297.491,20.9,8.493350000000001,23.7925,256.6485,3.396,22.45124999999999,350.0,312.5,311.2,350.0,310.0
T-A403,2020-12-15 00:00:00,2020-12-17 03:55:00,2020-12-17 05:00:00,29.0,295.0,21.7,790.1500000000001,2020-12-19 16:30:02,2020-12-20 11:13:00,6622.437,1654.548,20.465,9.13285,23.5675,265.71500000000003,3.7414999999999994,23.355,319.0,308.0,308.0,319.0,308.0,2020-12-21 22:33:00,2020-12-22 17:53:00,3.481982336931815,1649.77,5744.47,1.4168571428571428,24.816666666666663,249.93571428571423,358.2,357.6,365.0,357.6,2020-12-22 00:00:00,2020-12-26 02:40:00,2020-12-26 03:40:00,80.0,260.0,21.2,790.1500000000001,2020-12-27 12:26:00,2020-12-28 06:57:00,6547.061,1600.935,21.14444444444445,8.926055555555557,24.74861111111112,268.2099999999999,3.4850000000000008,22.95,280.0,282.0,282.5,284.0,280.0
